ID | Name | CollegeID | ProgramID
-----------------------------------
4 | Mechanical Engineering | 2 | 1
5 | Civil Engineering | 3 | 1
6 | Software Engineering | 4 | 4
1 | Computer Science and Engineering | 1 | 1
3 | Electronics and Communication Engineering | 1 | 1
2 | Information Technology | 1 | 1
7 | Computer Science - Cyber | 5 | 1
8 | Computer Science | 5 | 1
9 | Information Technology | 5 | 1
10 | AI - Machine Learning | 5 | 1
11 | AI - Data Science | 5 | 1
12 | Electronics and Communication Engineering | 5 | 1
